＊ 指数先物、国債先物、指数オプション、国債先物オプション、有価証券オプション、商品先物、商品先物オプション順で、商品ごとに限月順で表示しております。,,,,,,,,,,,
＊ 前取引日に取引最終日を迎えた銘柄につきましては掲載されておりません。,,,,,,,,,,,
銘柄コード,銘柄名称,PUT/CAL,限月,権利行使価格,清算価格,理論価格,原資産価格,ボラティリティ,金利,残日数,原資産名称
169030018,FUT_225_240307,,202403,,33450,33446,33464.17,,0.0655,70,日経225
169060018,FUT_225_240613,,202406,,33190,33216,33464.17,,0.1564,168,日経225
169090018,FUT_225_240912,,202409,,33130,33188,33464.17,,0.2355,259,日経225
169120018,FUT_225_241212,,202412,,32890,32983,33464.17,,0.2355,350,日経225
160030018,FUT_225_250313,,202503,,32850,32929,33464.17,,0.2355,441,日経225
160060018,FUT_225_250612,,202506,,32610,32702,33464.17,,0.2355,532,日経225
160120018,FUT_225_251211,,202512,,32370,32462,33464.17,,0.2355,714,日経225
161060018,FUT_225_260611,,202606,,32120,32186,33464.17,,0.2355,896,日経225
161120018,FUT_225_261210,,202612,,31910,31950,33464.17,,0.2355,1078,日経225
162060018,FUT_225_270610,,202706,,31720,31678,33464.17,,0.2355,1260,日経225
162120018,FUT_225_271209,,202712,,31520,31446,33464.17,,0.2355,1442,日経225
163060018,FUT_225_280608,,202806,,31340,31178,33464.17,,0.2355,1624,日経225
163120018,FUT_225_281207,,202812,,31150,30950,33464.17,,0.2355,1806,日経225
164060018,FUT_225_290607,,202906,,31000,30687,33464.17,,0.2355,1988,日経225
164120018,FUT_225_291213,,202912,,30880,30464,33464.17,,0.2355,2177,日経225
165060018,FUT_225_300613,,203006,,30760,30205,33464.17,,0.2355,2359,日経225
165120018,FUT_225_301212,,203012,,30670,29984,33464.17,,0.2355,2541,日経225
166060018,FUT_225_310612,,203106,,30460,29730,33464.17,,0.2355,2723,日経225
166120018,FUT_225_311211,,203112,,30380,29513,33464.17,,0.2355,2905,日経225
169010019,FUT_225M_240111,,202401,,33465,33464,33464.17,,-0.0236,14,日経225
169020019,FUT_225M_240208,,202402,,33465,33465,33464.17,,0.0655,42,日経225
169030019,FUT_225M_240307,,202403,,33450,33446,33464.17,,0.0655,70,日経225
169040019,FUT_225M_240411,,202404,,33200,33199,33464.17,,0.08,105,日経225
169060019,FUT_225M_240613,,202406,,33190,33216,33464.17,,0.1564,168,日経225
169090019,FUT_225M_240912,,202409,,33130,33188,33464.17,,0.2355,259,日経225
169120019,FUT_225M_241212,,202412,,32890,32983,33464.17,,0.2355,350,日経225
160030019,FUT_225M_250313,,202503,,32850,32929,33464.17,,0.2355,441,日経225
160060019,FUT_225M_250612,,202506,,32610,32702,33464.17,,0.2355,532,日経225
160120019,FUT_225M_251211,,202512,,32370,32462,33464.17,,0.2355,714,日経225
161060019,FUT_225M_260611,,202606,,32120,32186,33464.17,,0.2355,896,日経225
161120019,FUT_225M_261210,,202612,,31910,31950,33464.17,,0.2355,1078,日経225
162060019,FUT_225M_270610,,202706,,31720,31678,33464.17,,0.2355,1260,日経225
162120019,FUT_225M_271209,,202712,,31520,31446,33464.17,,0.2355,1442,日経225
163060019,FUT_225M_280608,,202806,,31340,31178,33464.17,,0.2355,1624,日経225
163120019,FUT_225M_281207,,202812,,31150,30950,33464.17,,0.2355,1806,日経225
169010023,FUT_225MC_240111,,202401,,33465,33464,33464.17,,-0.0236,14,日経225
169020023,FUT_225MC_240208,,202402,,33465,33465,33464.17,,0.0655,42,日経225
169030023,FUT_225MC_240307,,202403,,33450,33446,33464.17,,0.0655,70,日経225
169060023,FUT_225MC_240613,,202406,,33190,33216,33464.17,,0.1564,168,日経225
169030005,FUT_TPX_240307,,202403,,2366,2365.9,2366.39,,0.0655,70,TOPIX
169060005,FUT_TPX_240613,,202406,,2342.5,2342.4,2366.39,,0.1564,168,TOPIX
169090005,FUT_TPX_240912,,202409,,2341,2341.1,2366.39,,0.2355,259,TOPIX
169120005,FUT_TPX_241212,,202412,,2321,2320.8,2366.39,,0.2355,350,TOPIX
160030005,FUT_TPX_250313,,202503,,2318,2318.2,2366.39,,0.2355,441,TOPIX
169030006,FUT_TPXM_240307,,202403,,2366,2365.9,2366.39,,0.0655,70,TOPIX
169060006,FUT_TPXM_240613,,202406,,2342.5,2342.43,2366.39,,0.1564,168,TOPIX
169090006,FUT_TPXM_240912,,202409,,2341,2341.13,2366.39,,0.2355,259,TOPIX
169030022,FUT_400_240307,,202403,,21375,21376,21380,,0.0655,70,JPX日経400
